trial,start,goal,A*_steps,BFS_steps,improvement_%
1,REQ-030,REQ-018,2,8,75.0
1,REQ-024,REQ-011,2,15,86.67
1,REQ-011,REQ-002,2,16,87.5
1,REQ-016,REQ-022,2,8,75.0
1,REQ-001,REQ-002,2,2,0.0
1,REQ-017,REQ-011,2,21,90.48
1,REQ-037,REQ-007,2,11,81.82
1,REQ-033,REQ-030,2,21,90.48
1,REQ-024,REQ-015,2,17,88.24
1,REQ-025,REQ-026,2,6,66.67
2,REQ-030,REQ-018,2,8,75.0
2,REQ-024,REQ-011,2,15,86.67
2,REQ-011,REQ-002,2,16,87.5
2,REQ-016,REQ-022,2,8,75.0
2,REQ-001,REQ-002,2,2,0.0
2,REQ-017,REQ-011,2,21,90.48
2,REQ-037,REQ-007,3,11,72.73
2,REQ-033,REQ-030,2,21,90.48
2,REQ-024,REQ-015,2,17,88.24
2,REQ-025,REQ-026,2,6,66.67
3,REQ-030,REQ-018,2,8,75.0
3,REQ-024,REQ-011,2,15,86.67
3,REQ-011,REQ-002,2,16,87.5
3,REQ-016,REQ-022,2,8,75.0
3,REQ-001,REQ-002,2,2,0.0
3,REQ-017,REQ-011,2,21,90.48
3,REQ-037,REQ-007,3,11,72.73
3,REQ-033,REQ-030,2,21,90.48
3,REQ-024,REQ-015,2,17,88.24
3,REQ-025,REQ-026,2,6,66.67
4,REQ-030,REQ-018,2,8,75.0
4,REQ-024,REQ-011,2,15,86.67
4,REQ-011,REQ-002,2,16,87.5
4,REQ-016,REQ-022,2,8,75.0
4,REQ-001,REQ-002,2,2,0.0
4,REQ-017,REQ-011,2,21,90.48
4,REQ-037,REQ-007,3,11,72.73
4,REQ-033,REQ-030,2,21,90.48
4,REQ-024,REQ-015,2,17,88.24
4,REQ-025,REQ-026,2,6,66.67
5,REQ-030,REQ-018,2,8,75.0
5,REQ-024,REQ-011,2,15,86.67
5,REQ-011,REQ-002,2,16,87.5
5,REQ-016,REQ-022,2,8,75.0
5,REQ-001,REQ-002,2,2,0.0
5,REQ-017,REQ-011,2,21,90.48
5,REQ-037,REQ-007,2,11,81.82
5,REQ-033,REQ-030,2,21,90.48
5,REQ-024,REQ-015,2,17,88.24
5,REQ-025,REQ-026,2,6,66.67
6,REQ-030,REQ-018,2,8,75.0
6,REQ-024,REQ-011,2,15,86.67
6,REQ-011,REQ-002,2,16,87.5
6,REQ-016,REQ-022,2,8,75.0
6,REQ-001,REQ-002,2,2,0.0
6,REQ-017,REQ-011,2,21,90.48
6,REQ-037,REQ-007,3,11,72.73
6,REQ-033,REQ-030,2,21,90.48
6,REQ-024,REQ-015,2,17,88.24
6,REQ-025,REQ-026,2,6,66.67
7,REQ-030,REQ-018,2,8,75.0
7,REQ-024,REQ-011,2,15,86.67
7,REQ-011,REQ-002,2,16,87.5
7,REQ-016,REQ-022,2,8,75.0
7,REQ-001,REQ-002,2,2,0.0
7,REQ-017,REQ-011,2,21,90.48
7,REQ-037,REQ-007,3,11,72.73
7,REQ-033,REQ-030,2,21,90.48
7,REQ-024,REQ-015,2,17,88.24
7,REQ-025,REQ-026,2,6,66.67
8,REQ-030,REQ-018,2,8,75.0
8,REQ-024,REQ-011,2,15,86.67
8,REQ-011,REQ-002,2,16,87.5
8,REQ-016,REQ-022,2,8,75.0
8,REQ-001,REQ-002,2,2,0.0
8,REQ-017,REQ-011,2,21,90.48
8,REQ-037,REQ-007,3,11,72.73
8,REQ-033,REQ-030,2,21,90.48
8,REQ-024,REQ-015,2,17,88.24
8,REQ-025,REQ-026,2,6,66.67
9,REQ-030,REQ-018,2,8,75.0
9,REQ-024,REQ-011,2,15,86.67
9,REQ-011,REQ-002,2,16,87.5
9,REQ-016,REQ-022,2,8,75.0
9,REQ-001,REQ-002,2,2,0.0
9,REQ-017,REQ-011,2,21,90.48
9,REQ-037,REQ-007,3,11,72.73
9,REQ-033,REQ-030,2,21,90.48
9,REQ-024,REQ-015,2,17,88.24
9,REQ-025,REQ-026,2,6,66.67
10,REQ-030,REQ-018,2,8,75.0
10,REQ-024,REQ-011,2,15,86.67
10,REQ-011,REQ-002,2,16,87.5
10,REQ-016,REQ-022,2,8,75.0
10,REQ-001,REQ-002,2,2,0.0
10,REQ-017,REQ-011,2,21,90.48
10,REQ-037,REQ-007,3,11,72.73
10,REQ-033,REQ-030,2,21,90.48
10,REQ-024,REQ-015,2,17,88.24
10,REQ-025,REQ-026,2,6,66.67
